City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
212,Bubaque,GW,80.44,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
213,Isangel,VU,76.44,broken clouds,-19.55,169.2667,Tanna Lodge
214,Basco,PH,84.7,scattered clouds,20.4487,121.9702,Nathaniel's Lodge
218,Mawlaik,MM,77.67,overcast clouds,23.6333,94.4167,AKZ Guest House
220,Georgetown,MY,84.13,moderate rain,5.4112,100.3354,Cititel Penang
221,Hamilton,US,70.52,mist,39.1834,-84.5333,Six Acres Bed & Breakfast
222,Nhulunbuy,AU,74.01,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
227,Vao,NC,72.25,few clouds,-22.6667,167.4833,Hotel Kou-Bugny
228,Conceicao Da Barra,BR,82.22,scattered clouds,-18.5933,-39.7322,Cricaré Praia Hotel
231,Srandakan,ID,77.43,scattered clouds,-7.9386,110.2506,Puri Brata
232,Wailuku,US,74.97,few clouds,20.8911,-156.5047,Maui Beach Hotel
235,Olinda,BR,83.93,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
236,Maragogi,BR,81.64,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
237,Auki,SB,77.07,few clouds,-8.7676,160.7034,Auki Motel
239,Takoradi,GH,83.12,scattered clouds,4.8845,-1.7554,Raybow International Hotel
242,Manado,ID,75.97,few clouds,1.487,124.8455,Aryaduta Hotel
244,Kavaratti,IN,83.59,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
247,Kununurra,AU,76.98,overcast clouds,-15.7667,128.7333,Hotel Kununurra
248,Boyolangu,ID,75.31,scattered clouds,-8.1181,111.8935,Yos ega cv
250,Tezu,IN,74.62,scattered clouds,27.9167,96.1667,Circuit House
254,Namatanai,PG,78.33,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
255,Ishigaki,JP,81.88,overcast clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
262,Ilhabela,BR,70.86,overcast clouds,-23.7781,-45.3581,Ilha Flat Hotel
265,Adeje,ES,76.3,few clouds,28.1227,-16.726,Gran Tacande Wellness & Relax
266,Kieta,PG,77.61,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
268,Muros,ES,71.1,clear sky,42.7762,-9.0603,Apartment Av. Castelao
269,Guilin,CN,75.6,moderate rain,25.2819,110.2864,Grand 0773 Hotel
271,Marica,BR,81.48,broken clouds,-22.9194,-42.8186,Marica Hills
277,Los Llanos De Aridane,ES,71.35,broken clouds,28.6585,-17.9182,Valle Aridane
279,Ewa Beach,US,75.15,clear sky,21.3156,-158.0072,Base Lodging
282,Boca Do Acre,BR,87.17,overcast clouds,-8.7522,-67.3978,Hotel Sao Pedro
288,Avarua,CK,73.45,few clouds,-21.2078,-159.775,Paradise Inn
290,Banda Aceh,ID,79.84,broken clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
