City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Carutapera,BR,2022-05-30 19:01:57,-1.195,-46.02,83.62,74,9,7.81
68,Grand-Lahou,CI,2022-05-30 19:01:57,5.1367,-5.0242,79.21,84,72,7.31
69,Mankera,PK,2022-05-30 19:01:27,31.3866,71.4407,92.12,20,0,9.26
70,Clyde River,CA,2022-05-30 19:01:58,70.4692,-68.5914,28.53,66,5,3.51
71,Omboue,GA,2022-05-30 19:01:58,-1.5746,9.2618,73.45,91,55,6.35
72,Almeirim,BR,2022-05-30 19:01:59,-1.5233,-52.5817,80.87,88,91,3.13
73,Hobart,AU,2022-05-30 19:00:10,-42.8794,147.3294,42.03,93,100,9.22
74,Atuona,PF,2022-05-30 19:01:59,-9.8,-139.0333,77.68,77,74,11.99
75,Santa Rosa,PH,2022-05-30 19:02:00,14.3122,121.1114,79.11,90,100,2.89
76,Bengkulu,ID,2022-05-30 19:02:00,-3.8004,102.2655,75.58,91,22,3.83
77,Esperance,AU,2022-05-30 19:02:00,-33.8667,121.9,57.04,75,100,10.96
78,Ponta Do Sol,PT,2022-05-30 19:02:01,32.6667,-17.1,69.71,78,61,15.95
79,Kapaa,US,2022-05-30 19:02:01,22.0752,-159.319,78.12,78,75,10.36
80,Salalah,OM,2022-05-30 19:02:02,17.0151,54.0924,81.95,83,88,4.23
81,Yellowknife,CA,2022-05-30 19:02:02,62.456,-114.3525,53.56,34,0,3.0
82,Airai,TL,2022-05-30 19:02:02,-8.9266,125.4092,59.79,90,75,1.54
83,Marawi,PH,2022-05-30 19:02:03,7.9986,124.2928,65.39,86,100,2.33
84,Nikolskoye,RU,2022-05-30 19:02:04,59.7035,30.7861,62.49,69,99,3.71
85,Hilo,US,2022-05-30 19:02:04,19.7297,-155.09,84.27,67,46,5.99
86,Bredasdorp,ZA,2022-05-30 19:02:05,-34.5322,20.0403,57.34,61,100,14.58
87,Samfya,ZM,2022-05-30 19:02:05,-11.3649,29.5565,62.38,56,3,5.21
88,Klaksvik,FO,2022-05-30 19:02:06,62.2266,-6.589,47.32,91,100,11.81
89,Hithadhoo,MV,2022-05-30 19:02:06,-0.6,73.0833,83.7,68,99,11.25
90,Ballina,AU,2022-05-30 19:02:07,-28.8667,153.5667,58.01,58,3,26.53
91,Bandarbeyla,SO,2022-05-30 19:02:07,9.4942,50.8122,79.88,80,100,28.21
92,Progreso,MX,2022-05-30 19:02:07,21.2833,-89.6667,90.1,62,96,12.66
93,Cidreira,BR,2022-05-30 19:03:08,-30.1811,-50.2056,56.05,63,16,13.4
94,Mantenopolis,BR,2022-05-30 19:03:08,-18.8625,-41.1228,81.66,48,3,3.67
95,Vaini,TO,2022-05-30 19:03:09,-21.2,-175.2,75.36,94,20,5.75
96,Hobyo,SO,2022-05-30 19:03:10,5.3505,48.5268,79.18,83,1,25.64
97,Chuy,UY,2022-05-30 19:03:11,-33.6971,-53.4616,50.2,62,50,15.48
98,Mahebourg,MU,2022-05-30 19:03:11,-20.4081,57.7,70.25,68,41,17.74
99,Russell,US,2022-05-30 19:00:06,32.3502,-85.1999,91.9,32,2,7.38
100,Mana,GF,2022-05-30 19:03:12,5.6592,-53.7767,80.38,83,100,10.94
101,Immokalee,US,2022-05-30 19:03:12,26.4187,-81.4173,91.94,60,100,23.02
102,Lithakia,GR,2022-05-30 19:03:12,37.7167,20.8333,70.88,73,20,0.0
103,Qaanaaq,GL,2022-05-30 19:03:13,77.484,-69.3632,27.21,69,100,8.3
104,Coahuayana,MX,2022-05-30 19:03:14,18.7333,-103.6833,90.1,49,23,8.86
105,Presidencia Roque Saenz Pena,AR,2022-05-30 19:03:14,-26.7852,-60.4388,61.07,35,96,9.84
106,Vikulovo,RU,2022-05-30 19:03:15,56.8167,70.6107,54.45,88,100,9.24
107,Thompson,CA,2022-05-30 19:00:25,55.7435,-97.8558,44.51,95,100,7.23
108,Kutum,SD,2022-05-30 19:03:15,14.2,24.6667,83.08,10,0,8.88
109,Chunoyar,RU,2022-05-30 19:03:16,57.4467,97.3217,51.28,91,98,10.31
110,Saskylakh,RU,2022-05-30 19:03:16,71.9167,114.0833,19.53,98,100,2.68
111,Arlit,NE,2022-05-30 19:03:17,18.7369,7.3853,96.91,6,5,10.22
112,Ca Mau,VN,2022-05-30 19:01:18,9.1769,105.15,78.3,91,94,4.21
113,Dikson,RU,2022-05-30 19:03:18,73.5069,80.5464,28.09,96,100,6.76
114,Aklavik,CA,2022-05-30 19:03:18,68.2191,-135.0107,35.6,87,75,5.75
115,Haines Junction,CA,2022-05-30 19:03:19,60.7522,-137.5108,62.11,31,0,2.64
116,Huilong,CN,2022-05-30 19:03:19,31.8111,121.655,64.92,65,71,7.34
117,Jamestown,US,2022-05-30 19:03:19,42.097,-79.2353,85.51,39,0,11.5
118,Nagorsk,RU,2022-05-30 19:03:21,59.3172,50.8078,48.69,97,46,5.73
119,Batagay-Alyta,RU,2022-05-30 19:03:21,67.8006,130.4114,32.14,98,100,2.91
120,Upernavik,GL,2022-05-30 19:03:21,72.7868,-56.1549,30.16,80,26,15.23
121,Kodiak,US,2022-05-30 19:03:22,57.79,-152.4072,44.11,93,100,6.91
122,Bugiri,UG,2022-05-30 19:03:22,0.5714,33.7417,66.13,87,100,4.0
123,Alofi,NU,2022-05-30 19:03:22,-19.0595,-169.9187,71.49,88,20,0.0
124,Qujing,CN,2022-05-30 19:03:22,25.4833,103.7833,57.63,92,74,2.95
125,Avarua,CK,2022-05-30 19:03:23,-21.2078,-159.775,77.05,78,75,13.8
126,Sorong,ID,2022-05-30 19:03:23,-0.8833,131.25,79.83,81,100,7.47
127,Nome,US,2022-05-30 19:01:05,64.5011,-165.4064,59.11,52,100,6.89
128,Port Elizabeth,ZA,2022-05-30 19:03:23,-33.918,25.5701,56.32,79,100,4.0
129,Altagracia De Orituco,VE,2022-05-30 19:03:24,9.8601,-66.3814,94.64,30,14,6.51
130,Busselton,AU,2022-05-30 19:00:31,-33.65,115.3333,52.47,84,0,7.25
131,Beyneu,KZ,2022-05-30 19:03:24,45.3167,55.2,82.29,19,0,8.41
132,Umm Lajj,SA,2022-05-30 19:03:24,25.0213,37.2685,86.23,42,0,7.07
133,Balkanabat,TM,2022-05-30 19:03:25,39.5108,54.3671,83.3,16,0,11.97
134,Chapais,CA,2022-05-30 19:02:47,49.7834,-74.8492,49.78,86,100,5.28
135,Biltine,TD,2022-05-30 19:03:25,14.5333,20.9167,92.66,9,6,7.36
136,Bar Harbor,US,2022-05-30 19:03:25,44.3876,-68.2039,82.54,81,20,10.36
137,Sur,OM,2022-05-30 19:02:58,22.5667,59.5289,88.86,43,0,17.07
138,Mar Del Plata,AR,2022-05-30 19:03:26,-38.0023,-57.5575,51.1,48,40,10.36
139,Fethiye,TR,2022-05-30 19:03:26,36.6217,29.1164,67.87,67,0,3.15
140,Alekseyevsk,RU,2022-05-30 19:03:26,57.8406,108.3492,47.57,52,97,2.86
141,Fairview,US,2022-05-30 19:03:27,40.8126,-73.999,90.54,47,20,13.8
142,Lagoa,PT,2022-05-30 19:03:07,39.05,-27.9833,58.39,74,69,31.29
143,Kaitangata,NZ,2022-05-30 19:04:27,-46.2817,169.8464,51.96,78,100,3.94
144,Rio Gallegos,AR,2022-05-30 19:04:28,-51.6226,-69.2181,45.7,77,100,22.77
145,Shingu,JP,2022-05-30 19:04:28,33.7333,135.9833,65.07,92,100,7.63
146,Imbituba,BR,2022-05-30 19:04:28,-28.24,-48.6703,62.85,93,100,11.01
147,Sao Filipe,CV,2022-05-30 19:04:29,14.8961,-24.4956,76.19,79,6,10.69
148,Butaritari,KI,2022-05-30 19:04:29,3.0707,172.7902,81.37,73,98,15.99
149,Kholodnyy,RU,2022-05-30 19:04:29,62.7167,147.95,42.64,85,100,6.8
150,Senanga,ZM,2022-05-30 19:04:30,-16.1167,23.2667,60.98,40,0,6.24
151,Goma,CD,2022-05-30 19:04:30,-1.6792,29.2228,61.65,93,100,5.17
152,Lahaina,US,2022-05-30 19:02:12,20.8783,-156.6825,80.8,73,53,3.62
153,Zhigansk,RU,2022-05-30 19:04:31,66.7697,123.3711,35.64,82,100,15.79
154,Codrington,AU,2022-05-30 19:04:31,-38.2667,141.9667,46.94,77,78,17.6
155,Flinders,AU,2022-05-30 19:04:32,-34.5833,150.8552,54.25,72,100,4.0
156,Charters Towers,AU,2022-05-30 19:04:32,-20.1,146.2667,60.15,57,100,11.79
157,Mocuba,MZ,2022-05-30 19:04:33,-16.8392,36.9856,67.08,82,81,4.38
158,Zonguldak,TR,2022-05-30 19:04:33,41.25,31.8333,60.93,65,5,3.69
159,Souillac,MU,2022-05-30 19:04:33,-20.5167,57.5167,72.48,72,37,16.15
160,Aquidauana,BR,2022-05-30 19:04:34,-20.4711,-55.7872,86.32,47,70,10.58
161,Rock Springs,US,2022-05-30 18:59:52,41.5875,-109.2029,54.05,54,99,5.99
162,Safranbolu,TR,2022-05-30 19:04:34,41.2508,32.6942,62.65,69,5,0.83
163,Carballo,ES,2022-05-30 19:04:35,43.213,-8.691,64.0,85,100,2.19
164,Okhotsk,RU,2022-05-30 19:04:35,59.3833,143.3,38.68,80,100,3.0
165,Xining,CN,2022-05-30 19:00:12,36.6167,101.7667,54.39,52,100,2.75
166,Pierre,US,2022-05-30 19:00:11,44.3683,-100.351,65.32,71,75,28.77
167,Padang,ID,2022-05-30 19:00:28,-0.9492,100.3543,77.95,87,90,4.07
168,Hastings,GB,2022-05-30 19:02:06,50.8552,0.5729,56.32,69,97,5.82
169,Margate,GB,2022-05-30 19:04:37,51.3813,1.3862,56.3,59,92,3.0
170,Luderitz,NA,2022-05-30 19:04:37,-26.6481,15.1594,58.51,60,2,15.3
171,Narsaq,GL,2022-05-30 19:04:38,60.9167,-46.05,50.22,73,61,7.58
172,Koungou,YT,2022-05-30 19:04:38,-12.7336,45.2042,78.51,73,0,9.22
173,Sitka,US,2022-05-30 19:04:38,57.0531,-135.33,51.69,76,40,5.75
174,Saint George,US,2022-05-30 19:04:39,37.1041,-113.5841,76.62,14,0,11.5
175,Tezu,IN,2022-05-30 19:04:00,27.9167,96.1667,75.76,76,6,4.05
176,Catabola,AO,2022-05-30 19:04:39,-12.15,17.2833,61.12,49,0,3.78
177,La Paz,BO,2022-05-30 19:04:40,-16.5,-68.15,62.58,23,20,13.8
178,Usmajac,MX,2022-05-30 19:04:40,19.8667,-103.5667,91.27,15,79,5.91
179,Porto Novo,BJ,2022-05-30 19:04:41,6.4965,2.6036,79.09,84,91,6.6
180,Longyearbyen,SJ,2022-05-30 19:03:10,78.2186,15.6401,40.84,87,40,14.97
181,Talaja,IN,2022-05-30 19:04:41,21.35,72.05,86.41,61,3,12.77
182,Tiksi,RU,2022-05-30 19:04:42,71.6872,128.8694,27.9,93,100,11.68
183,Disna,BY,2022-05-30 19:04:42,55.568,28.1971,50.88,95,100,16.73
184,Asau,RO,2022-05-30 19:04:43,46.4333,26.4,65.32,88,0,4.9
185,Quatre Cocos,MU,2022-05-30 19:04:43,-20.2078,57.7625,70.09,67,92,17.52
186,Dunhua,CN,2022-05-30 19:04:43,43.3725,128.2425,41.05,89,7,5.03
187,Mancio Lima,BR,2022-05-30 19:04:44,-7.6142,-72.8958,86.36,61,19,2.15
188,Semikarakorsk,RU,2022-05-30 19:05:44,47.5194,40.8112,69.71,63,11,7.07
189,Sao Joao Da Barra,BR,2022-05-30 19:02:41,-21.6403,-41.0511,78.3,71,0,10.36
190,Werda,BW,2022-05-30 19:05:45,-25.2667,23.2833,54.25,38,0,6.51
191,Beringovskiy,RU,2022-05-30 19:05:45,63.05,179.3167,37.67,82,86,5.23
192,San Quintin,MX,2022-05-30 19:05:46,30.4833,-115.95,65.84,65,1,13.47
193,Demyanovo,RU,2022-05-30 19:05:46,60.3511,47.0842,49.1,97,30,4.45
194,Cuamba,MZ,2022-05-30 19:05:46,-14.8031,36.5372,70.74,56,100,2.39
195,Beira,MZ,2022-05-30 19:05:47,-19.8436,34.8389,71.69,83,20,4.61
196,Pandan,PH,2022-05-30 19:05:47,14.0453,124.1694,79.11,82,100,3.51
197,Athens,GR,2022-05-30 19:01:47,37.9795,23.7162,76.28,57,0,5.99
198,Mayumba,GA,2022-05-30 19:05:48,-3.432,10.6554,73.33,93,55,7.0
199,Westlock,CA,2022-05-30 19:02:20,54.1502,-113.8688,60.12,39,4,11.74
200,Conakry,GN,2022-05-30 19:03:18,9.538,-13.6773,82.04,79,45,10.33
201,Hofn,IS,2022-05-30 19:03:11,64.2539,-15.2082,45.73,82,15,8.63
